timestamp,soft_xray_flux,hard_xray_flux,soft_bg_subtracted,hard_bg_subtracted,source
2026-06-20T12:15:06Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:15:07Z,44.0,0.0,41.0,0.0,aditya
2026-06-20T12:15:08Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:15:09Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:15:10Z,24.0,0.0,21.0,0.0,aditya
2026-06-20T12:15:11Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:15:12Z,31.0,4.0,28.0,4.0,aditya
2026-06-20T12:15:13Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:15:14Z,19.0,0.0,16.0,0.0,aditya
2026-06-20T12:15:15Z,22.0,0.0,19.0,0.0,aditya
2026-06-20T12:15:16Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:15:17Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:15:18Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:15:19Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:15:20Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:15:21Z,29.0,5.0,26.0,5.0,aditya
2026-06-20T12:15:22Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:15:23Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:15:24Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:15:25Z,46.0,0.0,43.0,0.0,aditya
2026-06-20T12:15:26Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:15:27Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:15:28Z,24.0,9.0,21.0,9.0,aditya
2026-06-20T12:15:29Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:15:30Z,23.0,5.0,20.0,5.0,aditya
2026-06-20T12:15:31Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:15:32Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:15:33Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:15:34Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:15:35Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:15:36Z,39.0,0.0,36.0,0.0,aditya
2026-06-20T12:15:37Z,31.0,6.0,28.0,6.0,aditya
2026-06-20T12:15:38Z,32.0,5.0,29.0,5.0,aditya
2026-06-20T12:15:39Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:15:40Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:15:41Z,22.0,0.0,19.0,0.0,aditya
2026-06-20T12:15:42Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:15:43Z,21.0,0.0,18.0,0.0,aditya
2026-06-20T12:15:44Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:15:45Z,27.0,5.0,24.0,5.0,aditya
2026-06-20T12:15:46Z,35.0,5.0,32.0,5.0,aditya
2026-06-20T12:15:47Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:15:48Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:15:49Z,29.0,2.0,26.0,2.0,aditya
2026-06-20T12:15:50Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:15:51Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:15:52Z,21.0,0.0,18.0,0.0,aditya
2026-06-20T12:15:53Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:15:54Z,26.0,22.0,23.0,22.0,aditya
2026-06-20T12:15:55Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:15:56Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:15:57Z,44.0,0.0,41.0,0.0,aditya
2026-06-20T12:15:58Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:15:59Z,50.0,0.0,47.0,0.0,aditya
2026-06-20T12:16:00Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:16:01Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:16:02Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:16:03Z,37.0,15.0,34.0,15.0,aditya
2026-06-20T12:16:04Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:16:05Z,35.0,2.0,32.0,2.0,aditya
2026-06-20T12:16:06Z,22.0,0.0,19.0,0.0,aditya
2026-06-20T12:16:07Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:16:08Z,24.0,0.0,21.0,0.0,aditya
2026-06-20T12:16:09Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:16:10Z,31.0,18.0,28.0,18.0,aditya
2026-06-20T12:16:11Z,35.0,6.0,32.0,6.0,aditya
2026-06-20T12:16:12Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:16:13Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:16:14Z,41.0,0.0,38.0,0.0,aditya
2026-06-20T12:16:15Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:16:16Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:16:17Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:16:18Z,40.0,26.0,37.0,26.0,aditya
2026-06-20T12:16:19Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:16:20Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:16:21Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:16:22Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:16:23Z,50.0,0.0,47.0,0.0,aditya
2026-06-20T12:16:24Z,39.0,13.0,36.0,13.0,aditya
2026-06-20T12:16:25Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:16:26Z,41.0,19.0,38.0,19.0,aditya
